dataset,baseline,perturbation,class,pearson_r,l2,split_type,baseline_type,class_name
k562,lpm_selftrained,DNTTIP2,Transcription,0.9488382343331028,3.134162242663662,functional_class_holdout,,
k562,lpm_selftrained,DR1,Transcription,0.2486275330913298,3.5683146373025,functional_class_holdout,,
k562,lpm_selftrained,DRAP1,Transcription,0.2822055100985545,2.817095735867449,functional_class_holdout,,
k562,lpm_selftrained,EBNA1BP2,Transcription,0.7948467662717716,3.751844597686821,functional_class_holdout,,
k562,lpm_selftrained,ECD,Transcription,0.7014001420500675,4.0266056800677195,functional_class_holdout,,
k562,lpm_selftrained,EFTUD2,Transcription,0.8366521538183875,4.957146159506457,functional_class_holdout,,
k562,lpm_selftrained,ELP3,Transcription,0.4336960410336822,2.955548983536795,functional_class_holdout,,
k562,lpm_selftrained,ELP5,Transcription,0.479217630175295,2.584000070039739,functional_class_holdout,,
k562,lpm_selftrained,ERCC3,Transcription,0.5525624227205619,2.733667039387957,functional_class_holdout,,
k562,lpm_selftrained,ESF1,Transcription,0.7864654675632129,2.8816435276939236,functional_class_holdout,,
k562,lpm_selftrained,EXOSC10,Transcription,0.4861436065671578,3.539759944048448,functional_class_holdout,,
k562,lpm_selftrained,EXOSC2,Transcription,0.5459248912817262,7.825098265519963,functional_class_holdout,,
k562,lpm_selftrained,EXOSC3,Transcription,0.4824019079594889,8.798662834448473,functional_class_holdout,,
k562,lpm_selftrained,EXOSC4,Transcription,0.5272085663060835,7.703325550806664,functional_class_holdout,,
k562,lpm_selftrained,EXOSC5,Transcription,0.5223909856538285,7.931823998203366,functional_class_holdout,,
k562,lpm_selftrained,EXOSC6,Transcription,0.5091999510106543,7.274395748676677,functional_class_holdout,,
k562,lpm_selftrained,EXOSC7,Transcription,0.4307557329847505,4.874418542888401,functional_class_holdout,,
k562,lpm_selftrained,EXOSC8,Transcription,0.539323904118417,6.991871849777125,functional_class_holdout,,
k562,lpm_selftrained,EXOSC9,Transcription,0.5193230530221788,8.635293839291194,functional_class_holdout,,
k562,lpm_selftrained,FAM50A,Transcription,0.6809296152886424,6.560037305655927,functional_class_holdout,,
k562,lpm_selftrained,FARSA,Transcription,0.890176748688436,3.3113554965595977,functional_class_holdout,,
k562,lpm_selftrained,FARSB,Transcription,0.866619191310521,3.708894754301838,functional_class_holdout,,
k562,lpm_selftrained,FASTKD5,Transcription,0.3494966588793503,3.2093176077329857,functional_class_holdout,,
k562,lpm_selftrained,FBL,Transcription,0.9188490235792164,3.6895123980956783,functional_class_holdout,,
k562,lpm_selftrained,FCF1,Transcription,0.9384702738195576,2.6636364387461073,functional_class_holdout,,
k562,lpm_selftrained,FTSJ3,Transcription,0.8327059603801501,3.229629651082724,functional_class_holdout,,
k562,lpm_selftrained,GLE1,Transcription,0.5891902277528307,4.408093005095411,functional_class_holdout,,
